order_id,symbol,side,timestamp_entry,timestamp_exit,entry_price,exit_price,qty,fee_usd,pnl_usd,source
crp_aave_1773176161,AAVE,BUY,2026-03-10T20:56:01Z,2026-03-10T21:08:01Z,111.98,112.21,0.26790498,0.030062,0.031556,sim_orders
crp_doge_1773176281,DOGE,BUY,2026-03-10T20:58:01Z,2026-03-10T21:10:01Z,0.094902,0.09512,316.11557185,0.030069,0.038844,sim_orders
crp_link_1773176281,LINK,BUY,2026-03-10T20:58:01Z,2026-03-10T21:10:01Z,9.0,9.0,3.33333333,0.03,-0.03,sim_orders
crp_sol_1773176521,SOL,BUY,2026-03-10T21:02:01Z,2026-03-10T21:14:01Z,86.2,86.23,0.34802784,0.03001,-0.019569,sim_orders
crp_sui_1773176641,SUI,BUY,2026-03-10T21:04:01Z,2026-03-10T21:16:01Z,0.964287,0.96186,31.11106963,0.029924,-0.105431,sim_orders
crp_bnb_1773176641,BNB,BUY,2026-03-10T21:04:01Z,2026-03-10T21:16:01Z,644.27,643.66,0.04656433,0.029972,-0.058376,sim_orders
crp_render_1773176701,RENDER,BUY,2026-03-10T21:05:01Z,2026-03-10T21:17:01Z,1.5,1.5,20.0,0.03,-0.03,sim_orders
crp_btc_1773176761,BTC,BUY,2026-03-10T21:06:01Z,2026-03-10T21:18:01Z,70293.0,70131.0,0.00042679,0.029931,-0.099071,sim_orders
crp_aave_1773176881,AAVE,BUY,2026-03-10T21:08:01Z,2026-03-10T21:20:01Z,112.21,111.92,0.26735585,0.029922,-0.107455,sim_orders
crp_render_1773177421,RENDER,BUY,2026-03-10T21:17:01Z,2026-03-10T21:20:01Z,1.5,1.49,20.0,0.0298,-0.2298,sim_orders
crp_doge_1773177001,DOGE,BUY,2026-03-10T21:10:01Z,2026-03-10T21:22:01Z,0.09512,0.094904,315.39108495,0.029932,-0.098056,sim_orders
crp_sui_1773177361,SUI,BUY,2026-03-10T21:16:01Z,2026-03-10T21:28:01Z,0.96186,0.959067,31.18957021,0.029913,-0.117025,sim_orders
crp_render_1773186061,RENDER,BUY,2026-03-10T23:41:01Z,2026-03-10T23:53:01Z,1.47,1.47,20.40816327,0.03,-0.03,sim_orders
crp_doge_1773186061,DOGE,BUY,2026-03-10T23:41:01Z,2026-03-10T23:53:01Z,0.09459,0.094612,317.15826197,0.030007,-0.02303,sim_orders
crp_sui_1773186061,SUI,BUY,2026-03-10T23:41:01Z,2026-03-10T23:53:01Z,0.956884,0.956312,31.3517626,0.029982,-0.047915,sim_orders
crp_link_1773186121,LINK,BUY,2026-03-10T23:42:01Z,2026-03-10T23:54:01Z,8.98,8.99,3.34075724,0.030033,0.003375,sim_orders
crp_aave_1773186481,AAVE,BUY,2026-03-10T23:48:01Z,2026-03-11T00:00:01Z,111.58,111.66,0.26886539,0.030022,-0.008513,sim_orders
crp_eth_1773186481,ETH,BUY,2026-03-10T23:48:01Z,2026-03-11T00:00:01Z,2033.78,2036.58,0.01475086,0.030041,0.011261,sim_orders
crp_btc_1773186481,BTC,BUY,2026-03-10T23:48:01Z,2026-03-11T00:00:01Z,69926.0,69912.0,0.00042902,0.029994,-0.036,sim_orders
crp_render_1773186781,RENDER,BUY,2026-03-10T23:53:01Z,2026-03-11T00:05:01Z,1.47,1.47,20.40816327,0.03,-0.03,sim_orders
crp_doge_1773186781,DOGE,BUY,2026-03-10T23:53:01Z,2026-03-11T00:05:01Z,0.094612,0.09449,317.08451359,0.029961,-0.068645,sim_orders
crp_sui_1773186781,SUI,BUY,2026-03-10T23:53:01Z,2026-03-11T00:05:01Z,0.956312,0.956554,31.37051506,0.030008,-0.022416,sim_orders
crp_eth_1773187201,ETH,BUY,2026-03-11T00:00:01Z,2026-03-11T00:12:01Z,2036.58,2036.01,0.01473058,0.029992,-0.038388,sim_orders
crp_render_1773187501,RENDER,BUY,2026-03-11T00:05:01Z,2026-03-11T00:17:01Z,1.47,1.47,20.40816327,0.03,-0.03,sim_orders
crp_doge_1773187501,DOGE,BUY,2026-03-11T00:05:01Z,2026-03-11T00:17:01Z,0.09449,0.094487,317.4939147,0.029999,-0.030951,sim_orders
crp_sui_1773187501,SUI,BUY,2026-03-11T00:05:01Z,2026-03-11T00:17:01Z,0.956554,0.957267,31.36257859,0.030022,-0.00766,sim_orders
crp_eth_1773187921,ETH,BUY,2026-03-11T00:12:01Z,2026-03-11T00:24:01Z,2036.01,2036.33,0.0147347,0.030005,-0.02529,sim_orders
crp_btc_1773187921,BTC,BUY,2026-03-11T00:12:01Z,2026-03-11T00:24:01Z,69949.0,69985.0,0.00042888,0.030015,-0.014575,sim_orders
crp_sol_1773187921,SOL,BUY,2026-03-11T00:12:01Z,2026-03-11T00:24:01Z,85.83,85.84,0.34952814,0.030003,-0.026508,sim_orders
crp_aave_1773188041,AAVE,BUY,2026-03-11T00:14:01Z,2026-03-11T00:26:01Z,111.64,111.89,0.26872089,0.030067,0.037113,sim_orders
crp_render_1773188221,RENDER,BUY,2026-03-11T00:17:01Z,2026-03-11T00:29:01Z,1.47,1.47,20.40816327,0.03,-0.03,sim_orders
crp_doge_1773188221,DOGE,BUY,2026-03-11T00:17:01Z,2026-03-11T00:29:01Z,0.094487,0.094567,317.50399526,0.030025,-0.004625,sim_orders
crp_sui_1773188221,SUI,BUY,2026-03-11T00:17:01Z,2026-03-11T00:29:01Z,0.957267,0.95857,31.33921884,0.030041,0.010794,sim_orders
crp_link_1773188521,LINK,BUY,2026-03-11T00:22:01Z,2026-03-11T00:34:01Z,8.99,8.98,3.33704116,0.029967,-0.063337,sim_orders
crp_btc_1773188641,BTC,BUY,2026-03-11T00:24:01Z,2026-03-11T00:36:01Z,69985.0,69892.0,0.00042866,0.02996,-0.069825,sim_orders
crp_aave_1773188761,AAVE,BUY,2026-03-11T00:26:01Z,2026-03-11T00:38:01Z,111.89,111.65,0.26812048,0.029936,-0.094285,sim_orders
crp_eth_1773188761,ETH,BUY,2026-03-11T00:26:01Z,2026-03-11T00:38:01Z,2036.63,2032.22,0.01473022,0.029935,-0.094895,sim_orders
crp_render_1773188941,RENDER,BUY,2026-03-11T00:29:01Z,2026-03-11T00:41:01Z,1.47,1.47,20.40816327,0.03,-0.03,sim_orders
crp_doge_1773188941,DOGE,BUY,2026-03-11T00:29:01Z,2026-03-11T00:41:01Z,0.094567,0.094373,317.23539924,0.029938,-0.091482,sim_orders
crp_sol_1773189001,SOL,BUY,2026-03-11T00:30:01Z,2026-03-11T00:42:01Z,85.87,85.79,0.34936532,0.029972,-0.057921,sim_orders
crp_render_1773217861,RENDER,BUY,2026-03-11T08:31:01Z,2026-03-11T08:43:01Z,1.48,1.48,20.27027027,0.03,-0.03,sim_orders
crp_icp_1773218761,ICP,BUY,2026-03-11T08:46:01Z,2026-03-11T08:54:01Z,2.69,2.67,11.15241636,0.029777,-0.252825,sim_orders
crp_render_1773218581,RENDER,BUY,2026-03-11T08:43:01Z,2026-03-11T08:55:01Z,1.48,1.48,20.27027027,0.03,-0.03,sim_orders
crp_icp_1773219241,ICP,BUY,2026-03-11T08:54:01Z,2026-03-11T09:04:01Z,2.67,2.7,11.23595506,0.030337,0.306742,sim_orders
crp_render_1773219301,RENDER,BUY,2026-03-11T08:55:01Z,2026-03-11T09:07:01Z,1.48,1.48,20.27027027,0.03,-0.03,sim_orders
crp_icp_1773219841,ICP,BUY,2026-03-11T09:04:01Z,2026-03-11T09:10:01Z,2.7,2.73,11.11111111,0.030333,0.303,sim_orders
crp_render_1773220021,RENDER,BUY,2026-03-11T09:07:01Z,2026-03-11T09:19:01Z,1.48,1.48,20.27027027,0.03,-0.03,sim_orders
crp_render_1773220741,RENDER,BUY,2026-03-11T09:19:01Z,2026-03-11T09:31:01Z,1.48,1.48,20.27027027,0.03,-0.03,sim_orders
crp_icp_1773220921,ICP,BUY,2026-03-11T09:22:01Z,2026-03-11T09:34:01Z,2.72,2.72,11.02941176,0.03,-0.03,sim_orders
crp_icp_1773221641,ICP,BUY,2026-03-11T09:34:01Z,2026-03-11T09:42:01Z,2.72,2.7,11.02941176,0.029779,-0.250367,sim_orders
crp_fet_1773221881,FET,BUY,2026-03-11T09:38:01Z,2026-03-11T09:50:01Z,0.156427,0.156374,191.7827485,0.02999,-0.040154,sim_orders
crp_icp_1773222121,ICP,BUY,2026-03-11T09:42:01Z,2026-03-11T09:50:01Z,2.7,2.68,11.11111111,0.029778,-0.252,sim_orders
crp_aave_1773222481,AAVE,BUY,2026-03-11T09:48:01Z,2026-03-11T10:00:01Z,109.71,109.56,0.27344818,0.029959,-0.070976,sim_orders
crp_fet_1773357421,FET,BUY,2026-03-12T23:17:01Z,2026-03-12T23:31:01Z,0.17391,0.174628,172.5030188,0.030124,0.093733,sim_orders
crp_grt_1773357421,GRT,BUY,2026-03-12T23:17:01Z,2026-03-12T23:31:01Z,0.02791,0.027729,1074.88316916,0.029805,-0.224359,sim_orders
crp_icp_1773357421,ICP,BUY,2026-03-12T23:17:01Z,2026-03-12T23:31:01Z,2.69,2.69,11.15241636,0.03,-0.03,sim_orders
crp_shib_1773357421,SHIB,BUY,2026-03-12T23:17:01Z,2026-03-12T23:31:01Z,6e-06,6e-06,5050505.05050505,0.030303,-0.030303,sim_orders
crp_eth_1773357421,ETH,BUY,2026-03-12T23:17:01Z,2026-03-12T23:31:01Z,2080.5,2081.44,0.01441961,0.030014,-0.01646,sim_orders
crp_doge_1773357421,DOGE,BUY,2026-03-12T23:17:01Z,2026-03-12T23:31:01Z,0.095058,0.095011,315.59679354,0.029985,-0.044818,sim_orders
crp_shib_1773360363,SHIB,BUY,2026-03-13T00:06:03Z,2026-03-13T00:07:02Z,6e-06,6e-06,5076142.1319797,0.030457,-0.030457,sim_orders
crp_icp_1773360363,ICP,BUY,2026-03-13T00:06:03Z,2026-03-13T00:19:02Z,2.7,2.71,11.11111111,0.030111,0.081,sim_orders
crp_sui_1773398941,SUI,BUY,2026-03-13T10:49:01Z,2026-03-13T11:01:01Z,1.046,1.048,14.34034417,0.015029,0.013652,sim_orders
